2018-Feb-07 03:00:00.0000, -1.097058712636601E+08,  9.867303303510825E+07, -1.089122459014505E+04, -2.736998188268548E+01, -2.606877777257293E+01, -2.728987455198061E+00,
2018-Feb-08 03:00:00.0000, -1.117058728139168E+08,  9.648209725182356E+07, -8.340078880365938E+04, -2.256691575440819E+01, -2.526672623674185E+01, -6.973458111609645E-01,
2018-Feb-09 03:00:00.0000, -1.136331475271633E+08,  9.428888938951316E+07, -1.417504040325508E+05, -2.206535235518422E+01, -2.551700236833627E+01, -6.621438209685326E-01,
2018-Feb-10 03:00:00.0000, -1.155202662961427E+08,  9.207154058988436E+07, -1.984202430054098E+05, -2.162151231547883E+01, -2.581341896100421E+01, -6.510447782999673E-01,
2018-Feb-11 03:00:00.0000, -1.173696473407870E+08,  8.982811598885411E+07, -2.543876189342067E+05, -2.118894013248104E+01, -2.611794746358908E+01, -6.449564059334154E-01,
2018-Feb-12 03:00:00.0000, -1.191817497126009E+08,  8.755840651911628E+07, -3.099210810568891E+05, -2.075774036903612E+01, -2.642099619425657E+01, -6.407393742245215E-01,
2018-Feb-13 03:00:00.0000, -1.209565294766615E+08,  8.526271334697282E+07, -3.651313868823797E+05, -2.032467317750443E+01, -2.671904703917564E+01, -6.373723634781729E-01,
2018-Feb-14 03:00:00.0000, -1.226937618803739E+08,  8.294154711461464E+07, -4.200706798442490E+05, -1.988845661631535E+01, -2.701045633890661E+01, -6.344165739413885E-01,
2018-Feb-15 03:00:00.0000, -1.243931485919493E+08,  8.059552403857440E+07, -4.747639806364551E+05, -1.944856363751780E+01, -2.729432270798672E+01, -6.316516483022951E-01,
2018-Feb-16 03:00:00.0000, -1.260543623629762E+08,  7.822532153362612E+07, -5.292220071477965E+05, -1.900481114421094E+01, -2.757009128869924E+01, -6.289550301245423E-01,
2018-Feb-17 03:00:00.0000, -1.276770685071244E+08,  7.583165629737900E+07, -5.834472438467517E+05, -1.855719197106919E+01, -2.783738988969234E+01, -6.262535153982451E-01,
2018-Feb-18 03:00:00.0000, -1.292609363371242E+08,  7.341527222019935E+07, -6.374371334531344E+05, -1.810579695001510E+01, -2.809595248470226E+01, -6.235010873400491E-01,
2018-Feb-19 03:00:00.0000, -1.308056457348796E+08,  7.097693307763156E+07, -6.911858924220949E+05, -1.765077514854781E+01, -2.834558012279005E+01, -6.206677560354557E-01,
2018-Feb-20 03:00:00.0000, -1.323108911494760E+08,  6.851741774863248E+07, -7.446856091862619E+05, -1.719231198365878E+01, -2.858611948549857E+01, -6.177335072515504E-01,
2018-Feb-21 03:00:00.0000, -1.337763841370111E+08,  6.603751685744795E+07, -7.979269425491877E+05, -1.673061638816012E+01, -2.881745042203693E+01, -6.146848211543272E-01,
2018-Feb-22 03:00:00.0000, -1.352018550231245E+08,  6.353803026238918E+07, -8.508995846987143E+05, -1.626591286114634E+01, -2.903947833814263E+01, -6.115125695089088E-01,
2018-Feb-23 03:00:00.0000, -1.365870540094402E+08,  6.101976507234764E+07, -9.035925792615302E+05, -1.579843629630471E+01, -2.925212934248118E+01, -6.082106924398385E-01,
2018-Feb-24 03:00:00.0000, -1.379317519104594E+08,  5.848353400624742E+07, -9.559945466061272E+05, -1.532842846287402E+01, -2.945534702530840E+01, -6.047753360455932E-01,
2018-Feb-25 03:00:00.0000, -1.392357406339779E+08,  5.593015398422475E+07, -1.008093847812984E+06, -1.485613550937884E+01, -2.964909023681403E+01, -6.012042729605245E-01,
2018-Feb-26 03:00:00.0000, -1.404988334761650E+08,  5.336044488152761E+07, -1.059878706901204E+06, -1.438180612323352E+01, -2.983333149525092E+01, -5.974965024025440E-01,
2018-Feb-27 03:00:00.0000, -1.417208652776441E+08,  5.077522840116217E+07, -1.111337303906776E+06, -1.390569012499832E+01, -3.000805580105979E+01, -5.936519673418950E-01,
2018-Feb-28 03:00:00.0000, -1.429016924717320E+08,  4.817532703669370E+07, -1.162457847126728E+06, -1.342803735977320E+01, -3.017325971749154E+01, -5.896713499636714E-01,
2018-Mar-01 03:00:00.0000, -1.440411930464388E+08,  4.556156310631447E+07, -1.213228630140902E+06, -1.294909679786509E+01, -3.032895062857696E+01, -5.855559205174377E-01,
2018-Mar-02 03:00:00.0000, -1.451392664356495E+08,  4.293475784553461E+07, -1.263638077467924E+06, -1.246911578698038E+01, -3.047514611619955E+01, -5.813074231545681E-01,
2018-Mar-03 03:00:00.0000, -1.461958333507973E+08,  4.029573054998568E+07, -1.313674781544628E+06, -1.198833941728652E+01, -3.061187341792828E+01, -5.769279877549209E-01,
2018-Mar-04 03:00:00.0000, -1.472108355615684E+08,  3.764529776253150E+07, -1.363327532933345E+06, -1.150700997295200E+01, -3.073916894024097E+01, -5.724200603393541E-01,
2018-Mar-05 03:00:00.0000, -1.481842356322867E+08,  3.498427250066183E+07, -1.412585345134851E+06, -1.102536645209885E+01, -3.085707781033040E+01, -5.677863471127012E-01,
2018-Mar-06 03:00:00.0000, -1.491160166193141E+08,  3.231346352136924E+07, -1.461437475031791E+06, -1.054364414289423E+01, -3.096565345537420E+01, -5.630297688362038E-01,
2018-Mar-07 03:00:00.0000, -1.500061817339398E+08,  2.963367462146820E+07, -1.509873439752372E+06, -1.006207424733399E+01, -3.106495720166738E+01, -5.581534232706939E-01,
2018-Mar-08 03:00:00.0000, -1.508547539746016E+08,  2.694570397189031E+07, -1.557883030576879E+06, -9.580883546723591E+00, -3.115505788822139E+01, -5.531605540418010E-01,
